username,timestamp_text,comment_text,cleaned_tokens,cleaned_text
@vrittamroini,1 month ago,It is totally magic 😂😂😂,totally|magic,totally magic
@jci3060,1 month ago,so fake,fake,fake
@mickeygelerstein8083,1 month ago,WTF!!!,wtf,wtf
@RobertLanden1,1 month ago,"The New Psychic Scam: “I Read People” Psychics didn’t disappear — they just rebranded the scam. Instead of claiming supernatural powers, modern mentalists say things like: “I read microexpressions.” “I use psychology.” “I pick up subtle cues.” It’s the same old cold-reading and guesswork, wrapped in scientific-sounding language. The costume changed — the con didn’t. “I read people” is intentionally vague and impossible to prove or disprove. It creates a believable backstory for tricks anyone can learn with practice — the same tricks psychics used for decades. And those little disclaimers (“for entertainment only”) don’t protect the audience. They only protect the performer. The moment someone sees something that looks impossible, they believe it’s real, no matter what the fine print says. The show contradicts the disclaimer every time. That’s why this new version of the scam is so effective. It feels rational, it sounds intelligent, and it convinces people they’re witnessing superhuman intuition instead of stagecraft and manipulation. It’s not a breakthrough in psychology. It’s not a rare gift. It’s just an old psychic trick with better marketing.",new|psychic|scam|read|people|psychic|didnt|disappear|rebranded|scam|instead|claiming|supernatural|power|modern|mentalists|say|thing|like|read|microexpressions|use|psychology|pick|subtle|cue|old|coldreading|guesswork|wrapped|scientificsounding|language|costume|changed|con|didnt|read|people|intentionally|vague|impossible|prove|disprove|creates|believable|backstory|trick|anyone|learn|practice|trick|psychic|used|decade|little|disclaimer|entertainment|dont|protect|audience|protect|performer|moment|someone|see|something|look|impossible|believe|real|matter|fine|print|say|show|contradicts|disclaimer|every|time|thats|new|version|scam|effective|feel|rational|sound|intelligent|convinces|people|theyre|witnessing|superhuman|intuition|instead|stagecraft|manipulation|breakthrough|psychology|rare|gift|old|psychic|trick|better|marketing,new psychic scam read people psychic didnt disappear rebranded scam instead claiming supernatural power modern mentalists say thing like read microexpressions use psychology pick subtle cue old coldreading guesswork wrapped scientificsounding language costume changed con didnt read people intentionally vague impossible prove disprove creates believable backstory trick anyone learn practice trick psychic used decade little disclaimer entertainment dont protect audience protect performer moment someone see something look impossible believe real matter fine print say show contradicts disclaimer every time thats new version scam effective feel rational sound intelligent convinces people theyre witnessing superhuman intuition instead stagecraft manipulation breakthrough psychology rare gift old psychic trick better marketing
@jensummers6273,1 month ago,My person was Barack Obama I knew Brett would get it I thought Barack Obama as my person I knew it was correct for Jeff too Then Brett said the same with confidence Key is believe it,person|barack|obama|knew|brett|would|get|thought|barack|obama|person|knew|correct|jeff|brett|said|confidence|key|believe,person barack obama knew brett would get thought barack obama person knew correct jeff brett said confidence key believe
@georgemarian9993,1 month ago,Fake,fake,fake
@harm679,1 month ago,"13:44 he knew he had to open his eyee, because he opened them before he was told to…",knew|open|eyee|opened|told,knew open eyee opened told
@monamay5300,1 month ago,"He won't show you how to do his magic, because first you have to sell your soul to the devil's many entities that are waiting for the right soul to do the selling. Just like Chris Angel, these people do not do their magic without the help of unseen helpers. Too bad that this kind of magic cannot be done easier. Selling one's soul is not in my cards. I would not want to be in the same room with this guy.",wont|show|magic|first|sell|soul|devil|many|entity|waiting|right|soul|selling|like|chris|angel|people|magic|without|help|unseen|helper|bad|kind|magic|done|easier|selling|one|soul|card|would|want|room|guy,wont show magic first sell soul devil many entity waiting right soul selling like chris angel people magic without help unseen helper bad kind magic done easier selling one soul card would want room guy
@user-ce8tr1ex2m,1 month ago,The video is entertaining but doesn’t deliver on its promise. Clickbait,video|entertaining|doesnt|deliver|promise|clickbait,video entertaining doesnt deliver promise clickbait
@ElenaOC-u5b,1 month ago,He has a talent to read minds. We don’t. Simple as that and the way he does it has nothing to do with body language. It is more like a cover up his talent. Are you for real there are tons of famous people with long names.,talent|read|mind|dont|simple|way|nothing|body|language|like|cover|talent|real|ton|famous|people|long|name,talent read mind dont simple way nothing body language like cover talent real ton famous people long name
